Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000,Darvin Ham,SF,26,MIL,5,144,10.8,0.596,0.059,0.529,14.2,9,11.4,6.8,0.4,4.1,25,9,,0.2,0.1,0.2,0.079,,0.4,4.1,4.5,0.2
2000,Tom Hammonds,PF,32,MIN,1,2,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.015,,-6.8,2.4,-4.5,0
2000,Anfernee Hardaway,SG,28,PHO,9,386,18.3,0.531,0.131,0.428,3.8,8.3,6,25.3,1.9,1.7,12.7,22.8,,0.7,0.5,1.1,0.14,,3.1,1.7,4.8,0.7
2000,Tim Hardaway,PG,33,MIA,7,182,8.7,0.373,0.5,0.147,0.7,9.2,4.9,34.4,1.6,0,13.2,22.6,,-0.3,0.3,0,0.005,,0.1,-2.5,-2.4,0
2000,Ron Harper,PG,36,LAL,23,643,13.6,0.491,0.215,0.26,5.2,10.1,7.6,17.4,1.9,1.6,12.2,16.2,,0.8,0.3,1.1,0.08,,-0.3,2.1,1.8,0.6
2000,Grant Hill*,SF,27,DET,2,55,9.5,0.539,0.125,0.625,0,26.2,12.7,34.5,1,0,32.9,27,,-0.1,0.1,0,-0.038,,-4.6,1.8,-2.8,0
2000,Tyrone Hill,PF,31,PHI,10,352,15.4,0.515,0.01,0.44,11.5,21.1,16.1,4.5,1.4,0.2,9.1,17.1,,0.6,0.2,0.8,0.114,,-0.7,1.4,0.7,0.2
2000,Jeff Hornacek,SG,36,UTA,10,297,13.5,0.511,0.216,0.235,3.7,8.2,6,20.4,1.8,0,11.8,20.6,,0.3,0.1,0.4,0.069,,-0.2,0.1,-0.1,0.1
2000,Robert Horry,PF,29,LAL,23,618,13.2,0.514,0.407,0.393,6.9,16.2,11.4,13.8,1.7,2.4,15,14.7,,0.8,0.5,1.2,0.096,,0.1,3.1,3.2,0.8
2000,Allan Houston,SG,28,NYK,16,654,13.8,0.533,0.162,0.277,0.6,8.7,4.7,8.1,1.7,0.4,12,23.5,,0.3,0.7,1,0.071,,0.3,0,0.2,0.4
2000,Lindsey Hunter,PG,29,DET,3,93,5.6,0.361,0.281,0.188,0,9.9,4.8,11.3,2.9,0.9,12.6,20.8,,-0.3,0.2,-0.2,-0.08,,-5.6,1.9,-3.8,0
2000,Allen Iverson*,SG,24,PHI,10,444,16.6,0.472,0.165,0.388,3.5,7.1,5.3,20.3,1.5,0.2,10.3,32,,0.3,0,0.4,0.04,,0.6,-0.5,0.1,0.2
2000,Bobby Jackson,PG,26,MIN,3,30,26.5,0.705,0.375,0.75,0,23.9,11.4,23,3.9,2.8,15.8,21.1,,0.1,0.1,0.2,0.305,,3.9,4.7,8.6,0.1
